state_name,state_code,date,day_num,pfe_dose_1,pfe_dose_2,mrna_dose_1,mrna_dose_2,jnj_dose_1
Kentucky,KY,03/29/2021,105,73710,73710,43400.0,43400.0,25700.0
Mississippi,MS,03/29/2021,105,49140,49140,28700.0,28700.0,17100.0
North Carolina,NC,03/29/2021,105,168480,168480,99500.0,99500.0,58800.0
South Carolina,SC,03/29/2021,105,83070,83070,48800.0,48800.0,28900.0
Tennessee,TN,03/29/2021,105,111150,111150,65200.0,65200.0,38600.0
Chicago,,03/29/2021,105,45630,45630,26500.0,26500.0,15700.0
Illinois,IL,03/29/2021,105,167310,167310,98700.0,98700.0,58400.0
Indiana,IN,03/29/2021,105,108810,108810,64100.0,64100.0,38000.0
Michigan,MI,03/29/2021,105,166140,166140,98200.0,98200.0,58100.0
Minnesota,MN,03/29/2021,105,91260,91260,53800.0,53800.0,31800.0
Ohio,OH,03/29/2021,105,194220,194220,114100.0,114100.0,67400.0
Wisconsin,WI,03/29/2021,105,97110,97110,57100.0,57100.0,33800.0
Arkansas,AR,03/29/2021,105,49140,49140,28900.0,28900.0,17200.0
Louisiana,LA,03/29/2021,105,77220,77220,45000.0,45000.0,26600.0
New Mexico,NM,03/29/2021,105,35100,35100,20500.0,20500.0,12100.0
Oklahoma,OK,03/29/2021,105,64350,64350,37500.0,37500.0,22200.0
Texas,TX,03/29/2021,105,441090,441090,260400.0,260400.0,153900.0
Iowa,IA,03/29/2021,105,51480,51480,30400.0,30400.0,18100.0
Kansas,KS,03/29/2021,105,47970,47970,27800.0,27800.0,16500.0
Missouri,MO,03/29/2021,105,101790,101790,59500.0,59500.0,35200.0
Nebraska,NE,03/29/2021,105,31590,31590,18400.0,18400.0,10900.0
Colorado,CO,03/29/2021,105,92430,92430,54100.0,54100.0,32000.0
Montana,MT,03/29/2021,105,17550,17550,10400.0,10400.0,6100.0
North Dakota,ND,03/29/2021,105,12870,12870,7500.0,7500.0,4500.0
South Dakota,SD,03/29/2021,105,14040,14040,8300.0,8300.0,5000.0
Utah,UT,03/29/2021,105,46800,46800,27100.0,27100.0,16100.0
Wyoming,WY,03/29/2021,105,10530,10530,5700.0,5700.0,3400.0
Arizona,AZ,03/29/2021,105,114660,114660,67600.0,67600.0,40000.0
California,CA,03/29/2021,105,644670,644670,380300.0,380300.0,224600.0
Hawaii,HI,03/29/2021,105,24570,24570,14200.0,14200.0,8400.0
Nevada,NV,03/29/2021,105,49140,49140,28500.0,28500.0,16900.0
American Samoa,AS,03/29/2021,105,11700,0,5000.0,0.0,300.0
Guam,GU,03/29/2021,105,25740,0,15000.0,0.0,900.0
Marshall Islands,MH,03/29/2021,105,0,0,16800.0,0.0,400.0
Micronesia,FM,03/29/2021,105,0,0,22600.0,0.0,600.0
Mariana Islands,,03/29/2021,105,11700,0,5000.0,0.0,400.0
Palau,PW,03/29/2021,105,0,0,6200.0,0.0,200.0
Alaska,AK,03/29/2021,105,91260,79560,52500.0,52500.0,6300.0
Idaho,ID,03/29/2021,105,26910,26910,15800.0,15800.0,9500.0
Oregon,OR,03/29/2021,105,70200,70200,40800.0,40800.0,24200.0
Washington,WA,03/29/2021,105,122850,122850,72400.0,72400.0,42800.0
Federal Entities,,03/29/2021,105,201240,201240,143000.0,143000.0,16700.0
Connecticut,CT,03/22/2021,98,50310,50310,35800.0,35800.0,4200.0
Maine,ME,03/22/2021,98,19890,19890,13700.0,13700.0,1600.0
Massachusetts,MA,03/22/2021,98,95940,95940,69000.0,69000.0,8000.0
New Hampshire,NH,03/22/2021,98,19890,19890,13700.0,13700.0,1600.0
Rhode Island,RI,03/22/2021,98,15210,15210,10800.0,10800.0,1300.0
Vermont,VT,03/22/2021,98,9360,9360,6500.0,6500.0,800.0
New Jersey,NJ,03/22/2021,98,120510,120510,87400.0,87400.0,10200.0
New York,NY,03/22/2021,98,153270,153270,111300.0,111300.0,12900.0
New York City,,03/22/2021,98,117000,117000,84500.0,84500.0,9800.0
Puerto Rico,PR,03/22/2021,98,47970,47970,34200.0,34200.0,4000.0
U.S. Virgin Islands,,03/22/2021,98,2340,2340,1100.0,1100.0,200.0
Delaware,DE,03/22/2021,98,14040,14040,9500.0,9500.0,1100.0
District of Columbia,DC,03/22/2021,98,10530,10530,7200.0,7200.0,900.0
Maryland,MD,03/22/2021,98,81900,81900,59000.0,59000.0,6900.0
Pennsylvania,PA,03/22/2021,98,155610,155610,112400.0,112400.0,13000.0
Philadelphia,,03/22/2021,98,22230,22230,15600.0,15600.0,1800.0
Virginia,VA,03/22/2021,98,114660,114660,82800.0,82800.0,9600.0
West Virginia,WV,03/22/2021,98,25740,25740,18500.0,18500.0,2200.0
Alabama,AL,03/22/2021,98,66690,66690,47700.0,47700.0,5600.0
Florida,FL,03/22/2021,98,286650,286650,208000.0,208000.0,24100.0
Georgia,GA,03/22/2021,98,136890,136890,98600.0,98600.0,11500.0
